,step,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
0,3556,-0.0021559998858720064,-17.135591506958008,-0.0066162217408418655,0.03682776913046837,9.677417089903884e-09
1,5334,-0.002171499887481332,-17.06943130493164,-0.024451201781630516,-0.006865246221423149,3.109573265547283e-09
2,7112,-0.0020376667380332947,-16.761207580566406,-0.06220947578549385,-0.003261830657720566,4.035856537853988e-09
3,8890,-0.0019920000340789557,-16.703922271728516,-0.05292705073952675,-0.008196498267352581,3.661646985619882e-09
4,10668,-0.0019582000095397234,-16.54574966430664,0.02637782320380211,-0.0044135660864412785,3.2363438595695015e-09
5,12446,-0.0019243332790210843,-16.37909698486328,0.07675734907388687,-0.010144133120775223,4.024815591918696e-09
6,14224,-0.0019035714212805033,-16.34819984436035,-0.018794672563672066,-0.005394048988819122,3.1952631651677166e-09
7,16002,-0.0019151249434798956,-16.20922088623047,-0.028193650767207146,-0.006883555091917515,5.4261115600695575e-09
8,17780,-0.001884333323687315,-15.874876022338867,0.02021905407309532,-0.0047870599664747715,3.903080081357757e-09
9,19558,-0.001853700028732419,-15.944435119628906,-0.021062850952148438,-0.008447225205600262,3.1197695538054404e-09
10,21336,-0.0018531818641349673,-16.093212127685547,0.0331370085477829,-0.005502674728631973,5.853877382833161e-09
11,23114,-0.001841583289206028,-16.055858612060547,0.016786081716418266,-0.01013797614723444,4.433991396268766e-09
12,24892,-0.0018249230924993753,-15.856171607971191,-0.017435768619179726,-0.00607447000220418,3.1932203548024063e-09
13,26670,-0.0018294999608770013,-15.748624801635742,-0.016244783997535706,-0.002580119762569666,5.894319254906577e-09
14,28448,-0.0018226000247523189,-15.691424369812012,0.002459535375237465,-0.010731132701039314,4.107877149550632e-09
15,30226,-0.0018233750015497208,-15.701945304870605,-0.0023150225169956684,-0.005447826348245144,4.181463619801207e-09
16,32004,-0.0018149999668821692,-15.479154586791992,0.048720043152570724,-0.004894623067229986,3.3517810749117416e-09
17,33782,-0.0018236666219308972,-15.415899276733398,0.05655009299516678,-0.007340079173445702,4.316883739363675e-09
18,35560,-0.0018213684670627117,-15.157240867614746,-0.008205725811421871,-0.006339698098599911,3.189266628567111e-09
19,37338,-0.0018110000528395176,-15.055097579956055,0.03686648979783058,-0.008739481680095196,4.513164952868465e-09
20,39116,-0.0018047619378194213,-15.059342384338379,-0.04501064866781235,-0.0033422973938286304,3.806891246682653e-09
21,40894,-0.0017963182181119919,-14.751907348632812,-0.00672530010342598,-0.0043486542999744415,2.9189104466809113e-09
22,42672,-0.0017970434855669737,-14.715002059936523,0.02306416444480419,-0.004499499686062336,3.605831189190667e-09
23,44450,-0.0017853749450296164,-14.528414726257324,-0.004920868668705225,-0.007562569342553616,4.5299768380857586e-09
24,46228,-0.0017765200464054942,-14.452027320861816,-0.044585857540369034,-0.005689020734280348,3.6535146019645026e-09
25,48006,-0.0017768461257219315,-14.32675552368164,0.00839455146342516,-0.0057978336699306965,3.821630123468367e-09
26,49784,-0.0017721111653372645,-14.149393081665039,-0.07654742896556854,-0.009507017210125923,3.589005315163263e-09
27,51562,-0.0017686428036540747,-14.052153587341309,-0.043520890176296234,-0.0037748017348349094,4.936136832611737e-09
28,53340,-0.0017657586140558124,-14.1966552734375,0.031573668122291565,-0.007025436498224735,6.221576143161656e-09
29,55118,-0.001771266688592732,-13.964186668395996,0.03301773965358734,-0.00426397705450654,3.102819778888488e-09
30,56896,-0.0017704839119687676,-13.893494606018066,-0.03746573626995087,-0.002470975276082754,5.209281006557376e-09
31,58674,-0.0017559374682605267,-13.836958885192871,-0.03305155038833618,-0.0032116922084242105,3.4581786323428787e-09
32,60452,-0.0017436969792470336,-13.691492080688477,0.0001635322259971872,-0.005709832068532705,4.117709728745922e-09
33,62230,-0.0017398529453203082,-13.987544059753418,0.04477037861943245,-0.0033757335040718317,4.671484976626061e-09
34,64008,-0.0017410286236554384,-13.803540229797363,-0.01622171886265278,-0.007562822662293911,3.1854328064184756e-09
35,65786,-0.001736194477416575,-13.652177810668945,0.013812948018312454,-0.009910701774060726,5.424602544934487e-09
36,67564,-0.0017314323922619224,-13.454124450683594,-0.0004448540566954762,-0.01187023613601923,4.108880347075683e-09
37,69342,-0.001731894793920219,-13.378593444824219,-0.03788387402892113,-0.006242210511118174,4.191015534615872e-09
38,71120,-0.0017259487649425864,-13.344236373901367,-0.01577267423272133,-0.0021343606058508158,3.3697944434862848e-09
39,72898,-0.0017237999709323049,-13.161327362060547,-0.01084082666784525,-0.011191354133188725,9.84921566526964e-09
40,74676,-0.001720853615552187,-12.893449783325195,0.05427917465567589,-0.004950060974806547,5.8091562671336305e-09
41,76454,-0.0017207618802785873,-12.844156265258789,-0.03547025844454765,-0.0022284791339188814,3.2105114122771283e-09
42,78232,-0.0017208837671205401,-12.580862998962402,0.019887208938598633,-0.006482744123786688,3.828637407110591e-09
43,80010,-0.0017122045392170548,-12.272212028503418,-0.014901062473654747,-0.004297501407563686,2.7752276032799728e-09
44,81788,-0.0017104222206398845,-12.251202583312988,0.02337133325636387,-0.0020043477416038513,4.9948485347783844e-09
45,83566,-0.0017066738801077008,-12.151257514953613,0.030604597181081772,-0.0018459339626133442,3.662357306311037e-09
46,85344,-0.0017051489558070898,-11.991918563842773,-0.01960054039955139,-0.005708225537091494,4.077232329535718e-09
47,87122,-0.0017021041130647063,-11.952865600585938,0.06249900162220001,-0.005449103191494942,4.057663094414465e-09
48,88900,-0.0016971224686130881,-11.618515968322754,-0.052172183990478516,-0.010109755210578442,3.0641544856990777e-09
