,step,rollout/ep_rew_mean,train/critic_loss,train/actor_loss
0,3532,-0.00022899999748915434,0.0004958281060680747,-0.03613802418112755
1,5298,-0.00022066666861064732,0.0005262874765321612,-0.036443181335926056
2,7064,-0.0002165000041713938,0.00046234100591391325,-0.03654107451438904
3,8830,-0.00021399999968707561,0.0004910518182441592,-0.03625171259045601
4,10596,-0.0002123333397321403,0.00047466199612244964,-0.036013174802064896
5,12362,-0.00021114286209922284,0.0004967381828464568,-0.036469217389822006
6,14128,-0.00021025000023655593,0.000526071060448885,-0.03691529110074043
7,15894,-0.0002095555537380278,0.0004763005708809942,-0.03740665316581726
8,17660,-0.00020900000527035445,0.000485174881760031,-0.03698697313666344
9,19426,-0.00020854546164628118,0.0005112998187541962,-0.0371406152844429
10,21192,-0.00020816666074097157,0.00045731483260169625,-0.03735484182834625
11,22958,-0.00020784615480806679,0.0004973613540641963,-0.03709017112851143
12,24724,-0.00020757142920047045,0.000494900334160775,-0.03700568154454231
13,26490,-0.0002073333307635039,0.00047843612264841795,-0.03725813329219818
14,28256,-0.0002071250055450946,0.00049905403284356,-0.0376693420112133
15,30022,-0.00020694117120001465,0.0004830403777305037,-0.037857357412576675
16,31788,-0.00020677778229583055,0.0004631287301890552,-0.0381716787815094
17,33554,-0.00020663157920353115,0.0005271630361676216,-0.03792639076709747
18,35320,-0.00020650000078603625,0.00048607695498503745,-0.037846505641937256
19,37086,-0.00020638095156755298,0.0004759831936098635,-0.037808291614055634
20,38852,-0.00020627272897399962,0.0005225026980042458,-0.03804807737469673
21,40618,-0.00020617390691768378,0.00047589943278580904,-0.03859691321849823
22,42384,-0.00020608333579730242,0.000472428509965539,-0.039042551070451736
23,44150,-0.00020599999697878957,0.0004946421831846237,-0.038754530251026154
24,45916,-0.00020592307555489242,0.0004772807005792856,-0.03901134058833122
25,47682,-0.0002058518584817648,0.00048696761950850487,-0.03931710496544838
26,49448,-0.00020578572002705187,0.00048481003614142537,-0.039310526102781296
27,51214,-0.00020572413632180542,0.0004905189853161573,-0.039466310292482376
28,52980,-0.0002056666708085686,0.0004946658737026155,-0.0399007685482502
29,54746,-0.00020561290148179978,0.0005042238626629114,-0.03999784216284752
30,56512,-0.00020556249364744872,0.0004544569819699973,-0.039847854524850845
31,58278,-0.00020551515626721084,0.0005136221298016608,-0.039828721433877945
32,60044,-0.00020547058375086635,0.0004719817079603672,-0.03986922279000282
33,61810,-0.00020542857237160206,0.0005025421269237995,-0.03982162848114967
34,63576,-0.0002053888892987743,0.0004895167076028883,-0.04011083021759987
35,65342,-0.00020535134535748512,0.00048269148101098835,-0.040274206548929214
36,67108,-0.00020531579502858222,0.00048155634431168437,-0.0398518368601799
37,68874,-0.00020528204913716763,0.000498669221997261,-0.03874146565794945
38,70640,-0.00020525000581983477,0.0004916071193292737,-0.03885798901319504
39,72406,-0.0002052195050055161,0.0004825276555493474,-0.039168164134025574
40,74172,-0.00020519047393463552,0.0004751192172989249,-0.03966761752963066
41,75938,-0.00020516279619187117,0.00048585401964373887,-0.03960489481687546
42,77704,-0.00020513636991381645,0.0005051911575719714,-0.0396849550306797
43,79470,-0.00020511110778898,0.0004988876753486693,-0.039447903633117676
44,81236,-0.00020508695160970092,0.00047589620226062834,-0.039025526493787766
45,83002,-0.00020506382861640304,0.00047959265066310763,-0.038835152983665466
46,84768,-0.00020504166604951024,0.00048506364692002535,-0.039101436734199524
47,86534,-0.0002050204057013616,0.0005064131692051888,-0.03872356191277504
48,88300,-0.00020500000391621143,0.00046673344331793487,-0.038593798875808716
49,90066,-0.0002049803879344836,0.00047601829282939434,-0.03879193961620331
50,91832,-0.00020496154320426285,0.0004920986830256879,-0.038476552814245224
51,93598,-0.00020494339696597308,0.00048298112233169377,-0.03852207213640213
52,95364,-0.0002049259201157838,0.0004983824910596013,-0.039133649319410324
53,97130,-0.00020490909810177982,0.0004827344382647425,-0.03889932855963707
