,step,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss
30,56896,-0.0018736773636192083,0.8888581991195679,0.2743157148361206,-16.242982864379883,-0.12923431396484375,-0.01689710095524788,0.01832282543182373,4.784362239718121e-09
31,58674,-0.0018723750254139304,0.8889910578727722,0.2627859115600586,-16.014631271362305,-0.05227196216583252,0.043088652193546295,0.009850683622062206,5.113279577528829e-09
32,60452,-0.0018703030655160546,0.8413709998130798,0.29062619805336,-15.924237251281738,-0.07773351669311523,0.007390795275568962,0.02275906503200531,7.359839848675165e-09
33,62230,-0.0018633529543876648,0.9167236685752869,0.27637797594070435,-15.719157218933105,-0.08587396144866943,-0.05341577157378197,0.011497613973915577,2.0351176299726603e-09
34,64008,-0.0018599428003653884,0.8708887100219727,0.2801649868488312,-15.75167465209961,-0.04170989990234375,0.13707350194454193,0.022094065323472023,7.637877885713351e-09
35,65786,-0.0018525555497035384,0.9596152305603027,0.2870453894138336,-15.656793594360352,-0.07428431510925293,0.07404264062643051,0.009372741915285587,2.8957003461727027e-09
36,67564,-0.0018485405016690493,1.0159265995025635,0.3331458568572998,-15.288960456848145,-0.06193244457244873,0.10822061449289322,0.01273457519710064,4.624799654351364e-09
37,69342,-0.0018446316244080663,1.0028434991836548,0.2930446267127991,-15.389033317565918,-0.07528507709503174,0.04196527227759361,0.02061072736978531,4.01020017193332e-09
38,71120,-0.0018408717587590218,0.9927753210067749,0.3086989223957062,-15.279829978942871,-0.1252971887588501,0.02483583800494671,0.027461925521492958,5.414693138305893e-09
39,72898,-0.0018371499609202147,0.9682283997535706,0.28113988041877747,-15.270554542541504,-0.11746776103973389,-0.04818621277809143,0.0310907531529665,4.419579369141502e-09
40,74676,-0.0018381463596597314,0.9278885126113892,0.3153918385505676,-15.146575927734375,-0.09891259670257568,0.10078512877225876,0.03992125764489174,2.219827432980992e-09
41,76454,-0.0018306190613657236,1.0131828784942627,0.3429509103298187,-14.986723899841309,-0.05351269245147705,0.017808282747864723,0.0270523764193058,4.3079761979925024e-09
42,78232,-0.0018273255554959178,0.9374262690544128,0.28998875617980957,-15.0082368850708,-0.08246433734893799,0.011388543993234634,0.021963313221931458,4.04159594680209e-09
43,80010,-0.001825840910896659,1.0344312191009521,0.31010499596595764,-14.908790588378906,-0.08313751220703125,0.11826503276824951,0.12683863937854767,3.7019409759864175e-09
44,81788,-0.0018239778000861406,1.0899006128311157,0.31839147210121155,-14.819531440734863,-0.11625003814697266,0.0702541247010231,0.012789133936166763,3.1124061106169165e-09
45,83566,-0.0018234564922749996,1.049643874168396,0.31357333064079285,-14.67868423461914,-0.05501842498779297,0.04458371177315712,0.02581716887652874,3.99859123589863e-09
46,85344,-0.0018236595205962658,1.0385786294937134,0.3290213942527771,-14.530914306640625,-0.12700188159942627,0.04618091508746147,0.023571208119392395,6.643106953418965e-09
47,87122,-0.001821291632950306,1.0637454986572266,0.2986876666545868,-14.4697265625,-0.09796416759490967,0.11904311180114746,0.017218369990587234,6.626611259719084e-09
48,88900,-0.001818326534703374,1.024190068244934,0.2723284661769867,-14.430243492126465,-0.15729880332946777,-0.04999401047825813,0.023090586066246033,1.8886869845857746e-09
